index,descriptors,relative_frequency
"Chardonnay, Curico Valley, Central Valley, Chile",oak,0.10
"Bordeaux-style White Blend, White Blend, Graves, Bordeaux, France",oak,0.16
"Syrah, Inland Valleys, California, USA",oak,0.10
"Malbec, Mendoza, Argentina",berry,0.07
"Chardonnay, Sonoma Valley, North Coast, California, USA",oak,0.12
"Syrah, Columbia Valley, Oregon, USA",fruit,0.11
"White Blend, Veneto, Northeast Italy, Italy",flower,0.14
"Chardonnay, Friuli-Venezia Giulia, Northeast Italy, Italy",white_flower,0.10
"Pinot Noir, South Australia, Australia",cherry,0.23
"Red Blends, Red Blends, Maule Valley, Central Valley, Chile",earth,0.08
"Cabernet Sauvignon, Inland Valleys, California, USA",oak,0.16
"Red Blends, Red Blends, Sierra Foothills, California, USA",ripe,0.14
"White Blend, Columbia Valley, Washington, USA",fruit,0.10
"Chardonnay, Mendocino, North Coast, California, USA",fruit,0.15
"Bordeaux-style Red Blend, San Francisco Bay, Central Coast, California, USA",fruit,0.07
"Red Blends, Red Blends, Coastal Region, South Africa",fruit,0.12
"Viognier, Mendoza, Argentina",flower,0.16
"Cabernet Franc, Finger Lakes, New York, USA",cherry,0.16
"Cabernet Franc, Anjou-Saumar, Loire Valley, France",fruit,0.20
"Merlot, Southern Oregon, Oregon, USA",fruit,0.17
"Red Blends, Red Blends, Mendoza, Argentina",berry,0.07
"Riesling, Marlborough, New Zealand",apple,0.15
"Riesling, Central Otago, New Zealand",apple,0.21
"Pinot Noir, Champagne, France",fruit,0.30
"Syrah, Northern Rhone, Rhone Valley, France",fruit,0.10
"Chardonnay, Napa Valley, North Coast, California, USA",oak,0.20
"Red Blends, Red Blends, Thracian Valley, Bulgaria",cherry,0.31
"Chardonnay, Galilee, Israel",ripe,0.12
"Syrah, Galilee, Israel",cherry,0.21
"Grenache, Paso Robles, Central Coast, California, USA",cherry,0.16
"Red Blends, Red Blends, South Australia, Australia",cherry,0.15
"Bordeaux-style Red Blend, Maipo Valley, Central Valley, Chile",fruit,0.10
"Chardonnay, Willamette Valley, Oregon, USA",fruit,0.17
"Red Blends, Red Blends, Galilee, Israel",cherry,0.24
"Pinot Noir, Cote Chalonnaise, Burgundy, France",fruit,0.30
"Pinot Noir, Maule Valley, Central Valley, Chile",cherry,0.12
"Pinot Noir, Columbia Valley, Oregon, USA",fruit,0.17
"Tempranillo, Castilla and Leon, Northwest Spain, Spain",ripe,0.08
"Friulano, Italian White, Friuli-Venezia Giulia, Northeast Italy, Italy",apple,0.09
"Grenache, Southern Rhone, Rhone Valley, France",ripe,0.14
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",fruit,0.16
"Petite Sirah, Inland Valleys, California, USA",fruit,0.12
"Red Blends, Red Blends, San Francisco Bay, Central Coast, California, USA",ripe,0.14
"Merlot, Tuscany, Central Italy, Italy",fruit,0.12
"Pinot Noir, Burgenland, Austria",cherry,0.14
"Cabernet Franc, Long Island, New York, USA",cherry,0.13
"Syrah, San Francisco Bay, Central Coast, California, USA",blackberry,0.11
"Malbec, Salta, Argentina",earth,0.17
"Red Blends, Red Blends, Long Island, New York, USA",ripe,0.15
"White Blend, Castilla-La Mancha, Central Spain, Spain",melon,0.08
"Cabernet Sauvignon, Southern Oregon, Oregon, USA",fruit,0.23
"Chardonnay, San Francisco Bay, Central Coast, California, USA",oak,0.07
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",fruit,0.08
"Chardonnay, Jura, Burgundy, France",ripe,0.23
"Riesling, Michigan, USA",apple,0.08
"Sauvignon Blanc, Finger Lakes, New York, USA",grapefruit,0.09
"White Blend, Macedonia, Greece",lemon,0.19
"Malbec, Southwest France, France",fruit,0.32
"Syrah, San Luis Obispo, Central Coast, California, USA",pepper,0.11
"Pinot Noir, Mendocino, North Coast, California, USA",fruit,0.19
"Verdicchio, Italian White, Le Marche, Central Italy, Italy",citrus,0.10
"Pinot Noir, San Benito, Central Coast, California, USA",plum,0.17
"Red Blends, Red Blends, Sonoma Valley, North Coast, California, USA",juicy,0.13
"Gruner Veltliner, Finger Lakes, New York, USA",tangerine,0.09
"Cabernet Franc, Virginia, USA",cherry,0.14
"Viognier, Sonoma Valley, North Coast, California, USA",flower,0.17
"Chardonnay, San Luis Obispo, Central Coast, California, USA",lemon,0.07
"White Blend, Sierra Foothills, California, USA",flower,0.15
"Merlot, Long Island, New York, USA",cherry,0.12
"Syrah, Casablanca Valley, Aconcagua Region, Chile",spice,0.10
"White Blend, Long Island, New York, USA",flower,0.08
"Bordeaux-style Red Blend, Galilee, Israel",cherry,0.25
"Gruner Veltliner, Burgenland, Austria",ripe,0.17
"Chardonnay, British Columbia, Canada",oak,0.19
"White Blend, Coastal Region, South Africa",apple,0.10
"Grenache, Sonoma Valley, North Coast, California, USA",fruit,0.12
"Red Blends, Red Blends, Douro Valley, Portugal",fruit,0.26
"Tempranillo, Columbia Valley, Washington, USA",fruit,0.13
"Negroamaro, Italian Red, Puglia, Southern Italy, Italy",spice,0.13
"Syrah, Columbia Valley, Washington, USA",fruit,0.19
"Chardonnay, Mendoza, Argentina",apple,0.10
"Austrian white blend, White Blend, Burgenland, Austria",honey,0.22
"Malbec, Sonoma Valley, North Coast, California, USA",leather,0.10
"Pinot Noir, Nelson, New Zealand",cherry,0.24
"Syrah, Coastal Region, South Africa",fruit,0.09
"Frappato, Italian Red, Sicily, Southern Italy, Italy",berry,0.19
"Cabernet Franc, Touraine, Loire Valley, France",fruit,0.24
"Cabernet Sauvignon, Columbia Valley, Washington, USA",fruit,0.18
"Pinot Noir, Bio-Bio Valley, South Region, Chile",herb,0.10
"Bordeaux-style Red Blend, South Australia, Australia",cassis,0.12
"Petite Sirah, Napa Valley, North Coast, California, USA",oak,0.11
"Sauvignon Blanc, Monterey, Central Coast, California, USA",apple,0.09
"Syrah, Monterey, Central Coast, California, USA",blackberry,0.13
"White Blend, Niederosterreich, Austria",apple,0.16
"Cannonau, Grenache, Sardinia, Southern Italy, Italy",berry,0.22
"Merlot, Finger Lakes, New York, USA",ripe,0.12
"Cabernet Sauvignon, Aconcagua Valley, Aconcagua Region, Chile",rubber,0.11
"Sauvignon Blanc, Clear Lake, North Coast, California",citrus,0.09
"Red Blends, Red Blends, Provence, France",fruit,0.16
"Bordeaux-style Red Blend, Judea, Israel",cherry,0.20
"Cabernet Sauvignon-Syrah, Red Blends, Columbia Valley, Washington, USA",fruit,0.25
"Riesling, Nahe, Germany",smoke,0.10
"Tinto Fino, Tempranillo, Castilla and Leon, Northwest Spain, Spain",berry,0.11
"Pinot Grigio, Alsace, France",ripe,0.23
"Cabernet Franc, Southern Oregon, Oregon, USA",oak,0.11
"Grenache, South Australia, Australia",cherry,0.14
"Chardonnay, Breede River Valley",apple,0.18
"Bordeaux-style Red Blend, Medoc, Bordeaux, France",oak,0.30
"Syrah, Napa Valley, North Coast, California, USA",oak,0.12
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",grass,0.10
"White Blend, Alsace, France",spice,0.18
"Vernaccia, Italian White, Tuscany, Central Italy, Italy",flower,0.14
"Chardonnay, Catalunya, Northeast Spain, Spain",citrus,0.16
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",citrus,0.12
"Bordeaux-style Red Blend, Mendoza, Argentina",berry,0.08
"Sauvignon Blanc, Southern Oregon, Oregon, USA",steel,0.15
"Bordeaux-style Red Blend, Coastal Region, South Africa",fruit,0.09
"Malbec, Colchagua Valley, Central Valley, Chile",ripe,0.09
"Pinot Grigio, Friuli-Venezia Giulia, Northeast Italy, Italy",fruit,0.10
"Petite Sirah, Columbia Valley, Washington, USA",fruit,0.15
"Syrah, Sonoma Valley, North Coast, California, USA",pepper,0.08
"Syrah, Tuscany, Central Italy, Italy",fruit,0.19
"Sauvignon Blanc, Touraine, Loire Valley, France",ripe,0.19
"Nebbiolo, Piedmont, Northwest Italy, Italy",berry,0.10
"Red Blends, Red Blends, La Rioja, Northeast Spain, Spain",earth,0.07
"Syrah, Alentejo, Portugal",perfumed,0.25
"Red Blends, Red Blends, Alentejo, Portugal",cherry,0.14
"Red Blends, Red Blends, Umbria, Central Italy, Italy",ripe,0.09
"Red Blends, Red Blends, Clear Lake, North Coast, California",fruit,0.16
"Pinot Noir, Monterey, Central Coast, California, USA",cherry,0.14
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",cherry,0.12
"Red Blends, Red Blends, Burgenland, Austria",fruit,0.15
"Malbec, Southern Oregon, Oregon, USA",fruit,0.19
"Sauvignon Blanc, Long Island, New York, USA",grapefruit,0.11
"Merlot, Colchagua Valley, Central Valley, Chile",berry,0.09
"Sauvignon Blanc, Centre, Loire Valley, France",ripe,0.22
"Merlot, Hawkes Bay, New Zealand",cherry,0.16
"Pinot Noir, Southern Oregon, Oregon, USA",fruit,0.18
"Viognier, Sierra Foothills, California, USA",fruit,0.17
"Montepulciano, Italian Red, Abruzzo, Central Italy, Italy",cherry,0.12
"Red Blends, Red Blends, Campania, Southern Italy, Italy",ripe,0.11
"Riesling, Mendocino, North Coast, California, USA",apple,0.17
"Pinot Grigio, Central Otago, New Zealand",melon,0.10
"Cabernet Sauvignon-Malbec, Bordeaux-style Red Blend, Mendoza, Argentina",oak,0.11
"Viognier, Paso Robles, Central Coast, California, USA",peach,0.12
"Riesling, Mosel, Germany",apple,0.06
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",earth,0.16
"Cabernet Sauvignon, South Coast, California, USA",plum,0.09
"Bordeaux-style White Blend, White Blend, Bourg & Blaye, Bordeaux, France",fruit,0.14
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",earth,0.06
"Pinot Grigio, Willamette Valley, Oregon, USA",fruit,0.17
"Petite Sirah, Clear Lake, North Coast, California",fruit,0.10
"Red Blends, Red Blends, Macedonia, Greece",fruit,0.11
"Sauvignon Blanc, San Antonio Valley, Aconcagua, Chile",citrus,0.15
"Viognier, Northern Rhone, Rhone Valley, France",honey,0.13
"Cabernet Sauvignon, Mendoza, Argentina",berry,0.09
"Merlot, Maule Valley, Central Valley, Chile",earth,0.12
"Pinot Noir, Centre, Loire Valley, France",ripe,0.18
"Chardonnay, Hawkes Bay, New Zealand",toast,0.14
"Pinot Grigio, Southern Oregon, Oregon, USA",fruit,0.20
"Malbec, Columbia Valley, Washington, USA",fruit,0.14
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",steel,0.12
"Chardonnay, Inland Valleys, California, USA",lactic,0.12
"Merlot, Columbia Valley, Washington, USA",fruit,0.19
"Shiraz-Viognier, South Australia, Australia",tar,0.09
"Sauvignon Blanc, Friuli-Venezia Giulia, Northeast Italy, Italy",tomato,0.18
"Red Blends, Red Blends, Le Marche, Central Italy, Italy",berry,0.12
"Sauvignon Blanc, South Australia, Australia",citrus,0.10
"Cabernet Sauvignon, South Australia, Australia",cassis,0.11
"Riesling, Finger Lakes, New York, USA",apple,0.07
"Grenache, Columbia Valley, Washington, USA",fruit,0.16
"Malbec, San Juan, Argentina",berry,0.10
"Sauvignon Blanc, Maipo Valley, Central Valley, Chile",citrus,0.14
"Tempranillo, Southern Oregon, Oregon, USA",oak,0.15
"Red Blends, Red Blends, Castilla-La Mancha, Central Spain, Spain",ripe,0.09
"Chardonnay, Champagne, France",minerality,0.22
"Cabernet Sauvignon, Columbia Valley, Oregon, USA",fruit,0.21
"Sauvignon Blanc-Semillon, White Blend, Western Australia, Australia",passion_fruit,0.12
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",fruit,0.08
"Grenache, Catalunya, Northeast Spain, Spain",cherry,0.12
"Viognier, South Australia, Australia",flower,0.13
"Riesling, Columbia Valley, Washington, USA",fruit,0.13
"Cabernet Sauvignon, Long Island, New York, USA",ripe,0.10
"Tempranillo Blend, Tempranillo, Navarra, Northeast Spain, Spain",earth,0.09
"Sauvignon Blanc, Southwest France, France",herbacious,0.23
"Gros and Petit Manseng, White Blend, Southwest France, France",honey,0.40
"Viognier, Southern Oregon, Oregon, USA",fruit,0.13
"Pinot Grigio, Veneto, Northeast Italy, Italy",pear,0.14
"Ribolla Gialla, Italian White, Friuli-Venezia Giulia, Northeast Italy, Italy",fruit,0.16
"Riesling, South Australia, Australia",lime,0.16
"Tokaji, White Blend, Tokaj, Hungary",honey,0.17
"Merlot, San Francisco Bay, Central Coast, California, USA",cherry,0.14
"Zinfandel, Napa Valley, North Coast, California, USA",fruit,0.09
"Pinot Grigio, Finger Lakes, New York, USA",apple,0.11
"Red Blends, Red Blends, Valencia, Northeast Spain, Spain",earth,0.09
"Chardonnay, Lombardy, Northwest Italy, Italy",white_flower,0.12
"Syrah, Sierra Foothills, California, USA",ripe,0.13
"Chardonnay, San Antonio, Aconcagua Region, Chile",oak,0.17
"Bordeaux-style White Blend, White Blend, Columbia Valley, Washington, USA",toast,0.19
"Grillo, Italian White, Sicily, Southern Italy, Italy",citrus,0.16
"SpÃ¤tburgunder, Pinot Noir, Baden, Germany",cherry,0.12
